4
3
1,1,10,Images\\Towers\\T1\\T1_1,200,0.3,5,0,T1_1Attack
1,2,5,Images\\Towers\\T1\\T1_2,200,0.5,3,1,50,50,T1_2Attack
1,3,15,Images\\Towers\\T1\\T1_3,300,0.7,10,0,T1_3Attack
2,1,13,Images\\Towers\\T2\\T2_1,250,0.3,6,0,T2_1Attack
2,2,8,Images\\Towers\\T2\\T2_2,200,0.5,4,1,50,50,T2_2Attack
2,3,18,Images\\Towers\\T2\\T2_3,300,0.7,12,0,T2_3Attack
3,1,16,Images\\Towers\\T3\\T3_1,300,0.3,7,0,T3_1Attack
3,2,11,Images\\Towers\\T3\\T3_2,250,0.5,5,1,60,60,T3_2Attack
3,3,21,Images\\Towers\\T3\\T3_3,350,0.7,14,0,T3_3Attack
4,1,19,Images\\Towers\\T4\\T4_1,300,0.3,8,0,T4_1Attack
4,2,13,Images\\Towers\\T4\\T4_2,250,0.5,6,1,60,60,T4_2Attack
4,3,24,Images\\Towers\\T4\\T4_3,350,0.7,16,0,T4_3Attack

